angle_knee, angle_knee_r, angle_hip, angle_hip_r, angle_ankle, angle_ankle_r,elbow, elbow_r, step_length
162.5549347826087,166.2875,171.503847826087,173.54347826086956,162.5549347826087,166.2875,170.46832608695655,174.0064130434783,11.916739130434783
162.92859649122803,165.3934210526316,169.3540350877193,170.14482456140354,162.92859649122803,165.3934210526316,158.39219298245612,154.82815789473685,11.891842105263157

166.54506849315067,168.30553424657535,171.5184109589041,172.86882191780822,166.54506849315067,168.30553424657535,163.65230136986304,162.6425205479452,8.689561643835615

164.6487142857143,166.41190476190476,172.6416666666667,173.93071428571426,164.6487142857143,166.41190476190476,161.57209523809524,164.30599999999998,11.553

159.2679268292683,166.72768292682926,171.23243902439026,171.16585365853655,159.2679268292683,166.72768292682926,167.9839024390244,172.31073170731707,10.524999999999999

162.25474226804124,161.2072680412371,167.600412371134,167.34603092783505,162.25474226804124,161.2072680412371,145.4719587628866,140.9575257731959,13.841804123711341

164.00419354838712,161.38129032258064,167.62774193548387,166.66494623655913,164.00419354838712,161.38129032258064,146.97623655913975,139.62118279569893,14.571935483870972

162.92859649122803,165.3934210526316,169.3540350877193,170.14482456140354,162.92859649122803,165.3934210526316,158.39219298245612,154.82815789473685,11.891842105263157

165.27666666666667,165.09250000000006,174.19138888888884,170.3413888888889,165.27666666666667,165.09250000000006,158.3777777777778,164.73944444444444,8.84

162.92859649122803,165.3934210526316,169.3540350877193,170.14482456140354,162.92859649122803,165.3934210526316,158.39219298245612,154.82815789473685,11.891842105263157

166.73909604519773,167.41338983050846,171.6124293785311,172.67745762711866,166.73909604519773,167.41338983050846,164.59610169491526,163.36898305084745,8.766045197740112

162.03548387096768,171.17629032258066,170.06064516129032,171.7891935483871,162.03548387096768,171.17629032258066,163.85048387096776,173.27629032258065,11.355645161290324

162.71971830985913,167.8756338028169,173.08647887323946,174.25521126760563,162.71971830985913,167.8756338028169,162.98915492957747,164.92492957746475,11.740140845070423

164.3277551020408,162.62714285714284,166.19122448979593,166.6314285714286,164.3277551020408,162.62714285714284,138.7034693877551,147.78714285714284,14.202857142857141

170.57285714285717,173.79607142857145,173.05651785714286,173.31491071428573,170.57285714285717,173.79607142857145,170.26517857142855,152.09312500000001,6.789910714285715

159.88644067796608,164.90813559322035,168.13677966101693,170.49474576271183,159.88644067796608,164.90813559322035,157.51728813559322,159.0950847457627,12.545762711864404

167.43885714285716,165.38442857142857,173.1971428571429,172.12857142857143,167.43885714285716,165.38442857142857,144.24514285714287,156.53442857142858,11.66442857142857

165.09201388888889,165.53895833333334,169.64944444444444,168.5690277777778,165.09201388888889,165.53895833333334,159.63270833333334,156.72652777777776,9.197361111111112

169.17045267489712,166.84506172839502,173.33119341563787,171.80650205761316,169.17045267489712,166.84506172839502,159.30876543209874,165.46427983539095,3.8125102880658437

163.72163461538463,166.4201923076923,171.1913701923077,170.91432692307697,163.72163461538463,166.4201923076923,162.18403846153845,162.42125000000001,8.545600961538462

166.65639798488664,167.71901763224184,172.18123425692696,172.2247355163728,166.65639798488664,167.71901763224184,161.94566750629724,159.5632241813602,9.287078085642317

162.4788687782805,162.80262443438912,168.96665158371042,169.8952036199095,162.4788687782805,162.80262443438912,161.54542986425338,161.02262443438914,12.549185520361991

166.46429999999998,164.84689999999998,171.10180000000003,170.29950000000005,166.46429999999998,164.84689999999998,164.9881,170.03080000000003,9.0483

158.88299999999998,163.118,168.0977777777778,164.81722222222223,158.88299999999998,163.118,164.05,159.96066666666667,11.886777777777777

162.6346808510638,164.7311063829787,170.51629787234043,169.0167659574468,162.6346808510638,164.7311063829787,160.47561702127658,162.0968085106383,13.265872340425531

163.30660256410255,165.55365384615382,169.71352564102563,171.1926282051282,163.30660256410255,165.55365384615382,163.16282051282053,161.04955128205128,12.704294871794872

166.35260606060606,168.91275757575758,171.2431212121212,173.2039393939394,166.35260606060606,168.91275757575758,167.1258787878788,162.13136363636363,9.455484848484849

166.44796296296298,163.36351851851853,164.98689814814813,165.00064814814814,166.44796296296298,163.36351851851853,157.44861111111112,153.51560185185184,10.67685185185185

163.3659541984733,163.67301526717557,172.08549618320612,170.82885496183206,163.3659541984733,163.67301526717557,163.59446564885496,164.32450381679388,11.055648854961833

159.07165803108805,159.50663212435234,167.16487046632125,165.14088082901554,159.07165803108805,159.50663212435234,140.12886010362695,135.73176165803108,13.30056994818653

169.44329238329237,170.29051597051594,174.18542997542997,171.95643734643733,169.44329238329237,170.29051597051594,138.94282555282555,169.9659213759214,7.435970515970516

161.3431182795699,162.37983870967741,169.3956989247312,169.09166666666664,161.3431182795699,162.37983870967741,160.47940860215053,167.01666666666665,12.977526881720431

163.63715555555555,159.81906666666663,169.18079999999998,169.5375111111111,163.63715555555555,159.81906666666663,157.72853333333333,158.35142222222223,12.896088888888888

162.51353591160222,164.24635359116022,169.4268508287293,168.48867403314918,162.51353591160222,164.24635359116022,167.40872928176793,163.15486187845303,13.600441988950275

164.1491961414791,167.10996784565916,172.81540192926047,171.96745980707394,164.1491961414791,167.10996784565916,165.15614147909966,167.66720257234726,7.450032154340836

162.46372549019608,163.95941176470586,171.42098039215688,169.24117647058821,162.46372549019608,163.95941176470586,158.16545098039217,137.35701960784314,9.90164705882353

164.0838775510204,164.36102040816326,171.15132653061227,171.17680272108842,164.0838775510204,164.36102040816326,168.94261904761905,170.76819727891157,10.425986394557823

161.5637552742616,164.60054852320675,169.16337552742615,167.74430379746835,161.5637552742616,164.60054852320675,154.0385654008439,154.70886075949366,11.08493670886076

167.217702020202,167.13967171717175,173.2271212121212,171.66103535353534,167.217702020202,167.13967171717175,163.77133838383838,165.1404292929293,5.7657323232323225

162.7731140350877,165.1377631578947,170.92100877192985,169.26548245614035,162.7731140350877,165.1377631578947,165.89499999999998,165.1638157894737,9.291754385964913

163.8726388888889,164.10902777777775,171.86527777777778,170.4290625,163.8726388888889,164.10902777777775,168.79909722222223,166.6734027777778,11.283368055555554

163.0701724137931,167.04942528735634,170.09275862068966,170.1619540229885,163.0701724137931,167.04942528735634,119.89247126436783,136.86419540229886,11.024367816091955

167.69052325581393,168.85720930232557,172.29351744186047,172.0311918604651,167.69052325581393,168.85720930232557,117.40299418604653,126.92700581395349,6.81061046511628

161.96912000000003,166.09135999999995,169.3532,170.27656,161.96912000000003,166.09135999999995,117.75368,141.03639999999996,12.10296

164.80854368932037,163.79922330097088,171.68009708737867,170.98805825242724,164.80854368932037,163.79922330097088,143.12509708737863,121.82009708737866,13.393155339805825

164.50164634146344,167.50823170731707,170.58189024390245,171.45902439024388,164.50164634146344,167.50823170731707,161.16707317073173,162.5560975609756,10.966097560975609

170.24695278969958,170.7517167381974,173.55167381974252,173.3407296137339,170.24695278969958,170.7517167381974,168.4984549356223,173.58403433476394,5.965879828326181

159.98718309859154,164.88802816901406,170.7775352112676,169.68880281690141,159.98718309859154,164.88802816901406,162.49774647887324,162.99901408450705,12.181830985915493

166.95117216117217,164.23791208791206,172.55208791208793,172.37809523809526,166.95117216117217,164.23791208791206,160.6917216117216,161.21908424908423,10.751245421245422

160.46452261306533,161.4548743718593,167.7547738693467,170.9445728643216,160.46452261306533,161.4548743718593,155.28964824120604,154.19819095477388,9.623819095477387

165.0559832635983,167.1913389121339,173.41117154811712,172.2349372384937,165.0559832635983,167.1913389121339,167.0441841004184,162.3776150627615,6.778828451882845

162.1622896039604,166.72299504950493,171.46995049504952,173.44912128712872,132.29653465346536,166.72299504950493,170.7779702970297,173.90987623762376,12.092710396039603



